file,name,description
files/Cases\Case_CA10023.htm,KSS01044,Freno difettoso {Asse}
files/Cases\Case_CA10059.htm,KSS00276,Dati macchina errati per questo robot
files/Cases\Case_CA10143.htm,KSS15109,Livello high inatteso all'ingresso di conferma calibrazione
files/Cases\Case_CA10144.htm,KSS15111,Monitoraggio tempo impulso violata conferma di calibrazione
files/Cases\Case_CA10145.htm,KSS15113,Calibrazione confermata senza richiesta di riferimento
files/Cases\Case_CA10153.htm,TPBASIS 00123,Copiare i contenuti del blocco Spline separatamente.
files/Cases\Case_CA10159.htm,KSS00117,Riconoscimento collisione asse {Numero asse}
files/Cases\Case_CA10160.htm,KSS26177,Incremento valore forza nel controllo forza mancante ({Azionamento}).
files/Cases\Case_CA10162.htm,KSS00117,Riconoscimento collisione asse {Numero asse}
files/Cases\Case_CA10163.htm,KSS26177,Incremento valore forza nel controllo forza mancante ({Azionamento}).
files/Cases\Case_CA10165.htm,KSS00117,Riconoscimento collisione asse {Numero asse}
files/Cases\Case_CA10330.htm,KSS15109,Livello high inatteso all'ingresso di conferma calibrazione
files/Cases\Case_CA10331.htm,KSS15113,Calibrazione confermata senza richiesta di riferimento
files/Cases\Case_CA10332.htm,KSS15107,Errore all'ingresso di conferma calibrazione
files/Cases\Case_CA10452.htm,KSS01402,Scegliere avviamento
files/Cases\Case_CA10467.htm,KSS26016,Conf.: Regolatore posizione nella limitazione ({Azionamento}).
files/Cases\Case_CA10489.htm,KSS15014,Errore di collegamento SmartPad
files/Cases\Case_CA10515.htm,KSS26015,Errore generico alimentatore ({Alimentatore}).
files/Cases\Case_CA10612.htm,KSS15074,"Errore nel nodo di sicurezza dell'azionamento {Nome apparecchio}, canale {Numero canale}"
files/Cases\Case_CA10618.htm,KSS26013,Errore generico convertitore ({Azionamento}).
files/Cases\Case_CA10669.htm,KSS00099,Errore in lettura/scrittura: {Istanza bus}
files/Cases\Case_CA10715.htm,KSS12023,Temperatura resistenza zavorra ha raggiunto il limite di allarme
files/Cases\Case_CA10717.htm,KSS12014,Numero giri insufficiente del ventilatore esterno
files/Cases\Case_CA10721.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA10760.htm,KSS12019,Numero giri ventola PC sotto il limite di allarme
files/Cases\Case_CA10768.htm,KSS15002,Errore di comunicazione apparecchio sicuro {Apparecchio}
files/Cases\Case_CA10874.htm,KSS10072,Sensore di temperatura {Nome sensore} ({Temperatura} °C) esterno al campo consentito.
files/Cases\Case_CA10908.htm,KSS10072,Sensore di temperatura {Nome sensore} ({Temperatura} °C) esterno al campo consentito.
files/Cases\Case_CA10931.htm,RobotData 00031,Nessun collegamento possibile all'RDC (errore bus ecc.)
files/Cases\Case_CA11241.htm,KSS00158,Riduzione override a una velocità molto ridotta
files/Cases\Case_CA11344.htm,KSS15066,Livello Low inatteso sull'interruttore di riferimento calibrazione
files/Cases\Case_CA11347.htm,KSS15018,Conferma: superata velocità massima cartesiana nel modo T1
files/Cases\Case_CA11357.htm,KSS27004,Test freni necessario
files/Cases\Case_CA11367.htm,KSS01615,'PRIO' 40-80 bloccato
files/Cases\Case_CA11369.htm,KSS01608,Assegnazione valore funzionale a $CYCFLAG non permesso {ModuleLine}
files/Cases\Case_CA11371.htm,KSS01609,Assegnazione valore runtime a $CYCFLAG non permessa {ModuleLine}
files/Cases\Case_CA11380.htm,KSS00426,"Mouse-6D spostato-mosso dalla posizione di zero, rilasciare e premere tasto uomo-morto"
files/Cases\Case_CA11381.htm,KSS13025,"Mouse-6D spostato-mosso dalla posizione di zero, rilasciare e premere tasto uomo-morto."
